Date : 2024-07-31 07:53:45
Directory : /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src
Total : 58 files,  3451 codes, 25 comments, 355 blanks, all 3831 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         27 |      1,907 |          0 |        218 |      2,125 |
| JavaScript     |         14 |        998 |         25 |         90 |      1,113 |
| JSON           |          1 |        298 |          0 |          0 |        298 |
| CSS            |         15 |        247 |          0 |         47 |        294 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         58 |      3,451 |         25 |        355 |      3,831 |
| . (Files)                                                                                                |          9 |        401 |          7 |         20 |        428 |
| app                                                                                                      |          1 |         13 |          0 |          3 |         16 |
| components                                                                                               |         27 |      1,389 |          0 |        163 |      1,552 |
| components/AddEditBlogModal                                                                              |          1 |        297 |          0 |         19 |        316 |
| components/AddEditCategoryModal                                                                          |          1 |        150 |          0 |         15 |        165 |
| components/BlogGrid                                                                                      |          2 |         92 |          0 |         21 |        113 |
| components/BlogItem                                                                                      |          2 |        115 |          0 |         18 |        133 |
| components/BlogItemText                                                                                  |          2 |         46 |          0 |          7 |         53 |
| components/BlogList                                                                                      |          2 |         44 |          0 |         10 |         54 |
| components/Categories                                                                                    |          2 |         46 |          0 |          6 |         52 |
| components/CategoriesList                                                                                |          2 |         90 |          0 |          8 |         98 |
| components/CategoriesScrollList                                                                          |          1 |         34 |          0 |          3 |         37 |
| components/DeleteBlogModal                                                                               |          1 |         89 |          0 |         14 |        103 |
| components/DeleteCategoryModal                                                                           |          1 |         83 |          0 |         10 |         93 |
| components/EditButtons                                                                                   |          1 |         55 |          0 |          4 |         59 |
| components/ErrorToast                                                                                    |          1 |         48 |          0 |          5 |         53 |
| components/Footer                                                                                        |          1 |         28 |          0 |          2 |         30 |
| components/Heading                                                                                       |          2 |         13 |          0 |          4 |         17 |
| components/Loader                                                                                        |          1 |         10 |          0 |          2 |         12 |
| components/Navbar                                                                                        |          1 |         86 |          0 |          6 |         92 |
| components/Subheading                                                                                    |          2 |         15 |          0 |          5 |         20 |
| components/SuccessToast                                                                                  |          1 |         48 |          0 |          4 |         52 |
| features                                                                                                 |          4 |        562 |         17 |         36 |        615 |
| hooks                                                                                                    |          2 |         77 |          1 |         18 |         96 |
| pages                                                                                                    |         12 |        700 |          0 |         90 |        790 |
| pages/Blog                                                                                               |          2 |        107 |          0 |         13 |        120 |
| pages/Blogs                                                                                              |          2 |        101 |          0 |         16 |        117 |
| pages/Categories                                                                                         |          2 |         85 |          0 |         12 |         97 |
| pages/Home                                                                                               |          1 |         72 |          0 |         10 |         82 |
| pages/Login                                                                                              |          2 |        109 |          0 |         15 |        124 |
| pages/Profile                                                                                            |          1 |         82 |          0 |         12 |         94 |
| pages/Register                                                                                           |          2 |        144 |          0 |         12 |        156 |
| services                                                                                                 |          3 |        309 |          0 |         25 |        334 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                 | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.css                                   | CSS            |          0 |          0 |          1 |          1 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.jsx                                   | JavaScript JSX |         53 |          0 |          9 |         62 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.test.js                               | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/app/store.js                              | JavaScript     |         13 |          0 |          3 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/AddEditBlogModal/index.jsx     | JavaScript JSX |        297 |          0 |         19 |        316 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/AddEditCategoryModal/index.jsx | JavaScript JSX |        150 |          0 |         15 |        165 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogGrid/index.css             | CSS            |         52 |          0 |         12 |         64 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogGrid/index.jsx             | JavaScript JSX |         40 |          0 |          9 |         49 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItem/index.css             | CSS            |         53 |          0 |         11 |         64 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItem/index.jsx             | JavaScript JSX |         62 |          0 |          7 |         69 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItemText/index.css         | CSS            |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItemText/index.jsx         | JavaScript JSX |         34 |          0 |          5 |         39 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogList/index.css             | CSS            |         10 |          0 |          2 |         12 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogList/index.jsx             | JavaScript JSX |         34 |          0 |          8 |         42 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Categories/index.css           | CSS            |          9 |          0 |          1 |         10 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Categories/index.jsx           | JavaScript JSX |         37 |          0 |          5 |         42 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesList/index.css       | CSS            |         22 |          0 |          4 |         26 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesList/index.jsx       | JavaScript JSX |         68 |          0 |          4 |         72 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesScrollList/index.jsx | JavaScript JSX |         34 |          0 |          3 |         37 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/DeleteBlogModal/index.jsx      | JavaScript JSX |         89 |          0 |         14 |        103 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/DeleteCategoryModal/index.jsx  | JavaScript JSX |         83 |          0 |         10 |         93 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/EditButtons/index.jsx          | JavaScript JSX |         55 |          0 |          4 |         59 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/ErrorToast/index.jsx           | JavaScript JSX |         48 |          0 |          5 |         53 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Footer/index.jsx               | JavaScript JSX |         28 |          0 |          2 |         30 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Heading/index.css              | CSS            |          8 |          0 |          1 |          9 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Heading/index.jsx              | JavaScript JSX |          5 |          0 |          3 |          8 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Loader/index.jsx               | JavaScript JSX |         10 |          0 |          2 |         12 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Navbar/index.jsx               | JavaScript JSX |         86 |          0 |          6 |         92 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.css           | CSS            |          6 |          0 |          1 |          7 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.jsx           | JavaScript JSX |          9 |          0 |          4 |         13 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/SuccessToast/index.jsx         | JavaScript JSX |         48 |          0 |          4 |         52 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/dummy-data.json                           | JSON           |        298 |          0 |          0 |        298 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authSlice.js                     | JavaScript     |        113 |          4 |          9 |        126 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authorSlice.js                   | JavaScript     |         78 |          5 |          7 |         90 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/blogsSlice.js                    | JavaScript     |        212 |          6 |         11 |        229 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/categoriesSlice.js               | JavaScript     |        159 |          2 |          9 |        170 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useBlogs.js                         | JavaScript     |         42 |          1 |          9 |         52 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useCategories.js                    | JavaScript     |         35 |          0 |          9 |         44 |
